1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,1,4
2, If projected  the data must be readable.,US,2,10
3,"On a 10x10 projection screen,  90% of viewers must be able to read Event / Activity data from a viewing distance of 30",US,2,10
4, The product shall be available during normal business hours.,A,3,0
5,As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,3,0
7,"On a 10x10 projection screen,  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100",US,4,10
8,The product shall ensure that it can only be accessed by authorized users.,SE,5,9
10,The product shall be intuitive and self-explanatory.,US,6,10
11,:  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,6,10
12,The product shall respond fast to keep up-to-date data in the display.,PE,7,7
14,The system shall display Events in a vertical table by time.,F,9,1
16,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,11,3
17,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.,L,12,3
18,This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L,12,3
19,All actions that modify an existing dispute case must be recorded in the case history.,L,13,3
20,The Disputes System must be accessible by both internal and external users.,F,14,1
22,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,16,1
24,The Disputes System shall provide view access capability for authorized users of the application.,F,18,1
25,The Disputes System shall provide update access capability for authorized users of the application.,F,19,1
26,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,20,1
28,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.,F,22,1
29,As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.,F,22,1
31,The Disputes System must allow the user to create three unique types of ticket retrieval requests.,F,23,1
33,A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,23,1
35,Requests for original receipts are restricted to internal users.,F,24,1
36, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,25,1
37,The Disputes System shall allow the user to create or initiate a chargeback request.,F,26,1
38,The system must prompt the user to enter the required information to initiate a chargeback request.,F,26,1
39,The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,26,1
42,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F,28,1
43, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.,F,29,1
44,The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,29,1
47,The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.,F,31,1
48,In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,31,1
50,The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.,F,32,1
51,For example all open cases will be yellow and all closed cases will be gray.,F,32,1
52,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F,33,1
54,The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F,34,1
56,A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,35,1
57, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.,F,36,1
58,Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F,36,1
59,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,F,37,1
60,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F,38,1
61,The product must support Internet Explorer 5.5 and above.,O,39,6
62,The product must support Mozilla Firefox 1.0 and above.,O,40,6
63,The product shall interface with the Choice Parts System.,O,41,6
66,The product shall adhere to the corporate Architecture guidelines,O,43,6
67,The product shall comply with corporate User Interface Guidelines,LF,44,4
68,The product shall comply with corporate color scheme,LF,45,4
69,The appearance of the product shall appear professional,LF,46,4
71,The product shall be easy to use by Adjusters and Collision Estimators.,US,48,10
72,95% of Adjusters and Collision Estimators shall find the product easy to use.,US,48,10
73,The product shall increase productivity of Collision Estimators.,US,49,10
74,80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US,49,10
76,85% of all users will be satisfied with the product.,US,50,10
77,The product shall be easy to learn by Adjusters and Collision Estimators.,US,51,10
78,The product shall be learned with two days onsite training,US,51,10
80,User help can be found within 90% of the system.,US,52,10
81,The search for recycled parts shall take no longer than 15 seconds.,PE,53,7
85,The recycled parts audit report shall be returned to the user within 10 seconds.,PE,55,7
86,The audit report shall be returned within 10 seconds.,PE,55,7
88,The save shall occur within 5 seconds.,PE,56,7
89,The product shall adhere to the corporate online availability schedule.,A,57,0
90,The application is brought down only within 98% of the scheduled outages per the availability schedule.,A,57,0
91,The product shall achieve a 98% uptime.,A,58,0
92,The product shall not fail more than 2% of the available online time.,A,58,0
94,The system shall perform with 1500 users as a time.,SC,59,8
95, The average number of recycled parts records per day shall be 50 000.,SC,60,8
97, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,62,6
98,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,63,6
99,The maintenance of the product will fall within the established corporate maintenance windows.,O,64,6
100,The product shall be supported using the corporate support center.,O,65,6
101,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,66,6
102,Only adjusters can request recycled parts audit reports.,SE,67,9
103,No users without an adjuster role shall request recycled parts audits.,SE,67,9
104,Only adjusters with a supervisor role can update preferred repair facility ratings.,SE,68,9
106,Only collision estimators shall search for recycled parts.,SE,69,9
107,Users without the collision estimator role shall not have access to the search for recycled parts.,SE,69,9
108,Only valid data shall be entered into the system.,SE,70,9
109,No invalid data shall be entered into the system.,SE,70,9
111,The product shall free of computer viruses.,SE,72,9
112,The system shall prevent malicious attacks including denial of service.,SE,73,9
114,The product shall comply with the estimatics laws relating to recycled parts usage.,L,75,3
115,The product shall comply with insurance regulations regarding claims processing.,L,76,3
116, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,F,77,1
117, The vehicle data shall include vehicle year  make  and model,F,78,1
118, The vehicle location shall include street address  city  state  and zipcode,F,79,1
119, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,F,80,1
120,The search radius shall be between 1 and 30 miles,F,81,1
121,The system shall locate the preferred repair facility with the highest ratings for the input criteria,F,82,1
122,The adjuster shall enter the preferred repair facility on the estimate assignment.,F,83,1
124,The preferred repair facility shall be returned to the user.,F,85,1
125,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F,86,1
126,The estimator shall search for available recycled parts using damaged vehicle parts information.,F,87,1
