0,The system shall refresh the display every 60 seconds.,PE,0,7
2, If projected  the data must be readable.,US,2,10
3,"On a 10x10 projection screen,  90% of viewers must be able to read Event / Activity data from a viewing distance of 30",US,2,10
4, The product shall be available during normal business hours.,A,3,0
6, If projected  the data must be understandable.,US,4,10
7,"On a 10x10 projection screen,  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100",US,4,10
8,The product shall ensure that it can only be accessed by authorized users.,SE,5,9
10,The product shall be intuitive and self-explanatory.,US,6,10
11,:  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,6,10
15,The system shall display the Events in a graph by time.,F,10,1
16,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,11,3
17,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.,L,12,3
20,The Disputes System must be accessible by both internal and external users.,F,14,1
21,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F,15,1
22,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,16,1
23,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F,17,1
26,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,20,1
27,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F,21,1
29,As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.,F,22,1
30,The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,22,1
33,A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,23,1
35,Requests for original receipts are restricted to internal users.,F,24,1
36, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,25,1
37,The Disputes System shall allow the user to create or initiate a chargeback request.,F,26,1
