1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,1,1
2, If projected  the data must be readable.,US,2,5
6, If projected  the data must be understandable.,US,4,5
7,"On a 10x10 projection screen,  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100",US,4,5
8,The product shall ensure that it can only be accessed by authorized users.,SE,5,4
10,The product shall be intuitive and self-explanatory.,US,6,5
11,:  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,6,5
20,The Disputes System must be accessible by both internal and external users.,F,14,0
21,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F,15,0
22,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,16,0
26,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,20,0
28,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.,F,22,0
30,The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,22,0
31,The Disputes System must allow the user to create three unique types of ticket retrieval requests.,F,23,0
33,A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,23,0
35,Requests for original receipts are restricted to internal users.,F,24,0
36, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,25,0
40, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request.,F,27,0
41,The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,F,27,0
42,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F,28,0
45,The Disputes System must provide the ability to view existing dispute cases.,F,30,0
47,The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.,F,31,0
49,A list of all disputes cases that meet the entered search criteria must be provided to the user.,F,32,0
51,For example all open cases will be yellow and all closed cases will be gray.,F,32,0
52,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F,33,0
54,The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F,34,0
55, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.,F,35,0
56,A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,35,0
57, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.,F,36,0
58,Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F,36,0
60,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F,38,0
61,The product must support Internet Explorer 5.5 and above.,O,39,2
62,The product must support Mozilla Firefox 1.0 and above.,O,40,2
68,The product shall comply with corporate color scheme,LF,45,1
69,The appearance of the product shall appear professional,LF,46,1
72,95% of Adjusters and Collision Estimators shall find the product easy to use.,US,48,5
73,The product shall increase productivity of Collision Estimators.,US,49,5
74,80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US,49,5
76,85% of all users will be satisfied with the product.,US,50,5
77,The product shall be easy to learn by Adjusters and Collision Estimators.,US,51,5
78,The product shall be learned with two days onsite training,US,51,5
79,The user shall easily locate instructions while using the product.,US,52,5
80,User help can be found within 90% of the system.,US,52,5
84,The preferred repair facility is returned within 8 seconds,PE,54,3
85,The recycled parts audit report shall be returned to the user within 10 seconds.,PE,55,3
97, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,62,2
98,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,63,2
99,The maintenance of the product will fall within the established corporate maintenance windows.,O,64,2
101,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,66,2
